	-1
a round	0
once 	1
once	2
shot three times	3
shot himself once	4
a round 	5
the bullet 	6
shot in the leg	7
several	8
 a round entered the mans right leg, apparently breaking the femur. 	9
round 	10
and a round	11
The weapon discharged and a round 	12
discharged and a round entered the mans right leg	13
 a round	14
The weapon discharged and a round	15
three gunshots	16
a shot	17
he shot himself once	18
The weapon discharged	19
The weapon discharged and a round entered the mans right leg	20
multiple times	21
several gunshot wounds	22
discharged and a round	23
 once	24
a gunshot	25
 a round 	26
one	27
multiple 	28
round	29
 once 	30
shot him once	31
multiple	32
three	33
twice	34
a round entered the mans right leg	35
multiple gunshots	36
a 	37
 shot himself once	38
the gun discharged	39
a bullet hole	40
shot multiple times	41
 discharged and a round 	42
 weapon discharged and a round	43
shot himself once 	44
the bullet	45
 shot himself once in the finger	46
two	47
3 shots	48
two shots	49
two 	50
two shot	51
a gunshot wound	52
3	53
 two shots	54
 a gunshot wound	55
3 shots were fired 	56
 3 shots	57
nine gun shots	58
several shots	59
30-round magazine	60
fired two shots	61
shot Bolton multiple times	62
six	63
a	64
two shots.	65
several 	66
partner fired two shots	67
3 shots were fired	68
his partner fired two shots	69
 five 	70
three shots 	71
six or eight	72
 six or eight	73
 several gunshot wounds	74
 fired two shots	75
 nine gun shots	76
gunshot	77
gunshot 	78
fired a shot	79
 two	80
 3 shots 	81
3 shots 	82
five to 10 shots	83
several times	84
shot several times	85
3 	86
 3	87
six or seven shots	88
rifle had an extended 30-round magazine, and much of it was used	89
 four of which had been fired	90
multiple shots	91
 about seven shots	92
 multiple times	93
30-round magazine, and much of it was used	94
 a gunshot 	95
shot	96
 shot	97
several gunshots	98
one 	99
13	100
one discharged	101
 three shots 	102
 his partner fired two shots. 	103
seven shots	104
a gunshot 	105
shot in the leg 	106
fired two shots.	107
a gun shot wound	108
man had a gunshot wound to his abdomen	109
 two 	110
three 	111
1	112
nine 	113
several gunshot	114
four or five	115
stray bullet hit 	116
at least one shot	117
five 	118
multiple gunshot	119
four to five	120
gunshot wound	121
Jones three times, and MacNamara fired once	122
multiple times 	123
a gunshot wound 	124
nine times 	125
 3 shots were fired	126
 one	127
Multiple shots	128
six shots	129
10 gun shell casings 	130
 four	131
five shots	132
gunfire	133
 three spent rounds	134
shooting at the lights	135
10 gun shell casings	136
one gunshot	137
 single gunshot	138
Multiple 	139
an	140
 two shots.	141
single gunshot	142
 seven	143
single	144
 3 	145
gunshots 	146
four more shots fired	147
 multiple	148
 12 	149
six or seven 	150
 shot multiple times	151
Officers did not say how many shots were fired	152
multiple gunshot wounds	153
four	154
fired two shot	155
 twice	156
ired two shots	157
a shot fired	158
nine	159
the man had a gunshot wound to his abdomen	160
a gunshot wound to his abdomen 	161
at least once	162
the shot	163
a gunshot wound to his abdomen	164
about seven shots	165
single gunshot wound 	166
 his partner fired two shots.	167
barrage of bullets	168
gunshot wound to his abdomen	169
two times	170
16 times	171
More than a dozen gunshots	172
16 TIMES	173
one shot	174
4 shot,	175
shooting scene 	176
gunshot wound to the head	177
multiple times. 	178
 fired two shots.	179
at least once,	180
 fired about seven shots	181
